/SiMCosta RJ - Ilha do Pai - Cia de Docas
/latitude = -22.99277544
/longitude = -43.09056758



/Parameters:
/Tmp: Average Water Temperature (degree Celsius)
/Avg_Sal: Average Salinity (psu)

/Missing = NULL
/YEAR MONTH DAY HOUR MINUTE SECOND = Date/Time Data Acquisition (UTC)
YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,Tmp,Avg_Sal
2024,1,19,2,0,0,27.39,34.98
2024,1,19,2,5,0,27.37,34.91
2024,1,19,2,10,0,27.34,34.88
2024,1,19,2,15,0,27.2,34.76
2024,1,19,2,20,0,27.15,34.66
2024,1,19,2,25,0,27.09,34.69
2024,1,19,2,30,0,26.96,34.69
2024,1,19,2,35,0,26.92,34.76
2024,1,19,2,40,0,26.8,34.7
2024,1,19,2,45,0,26.66,34.64
2024,1,19,2,50,0,26.86,34.82
2024,1,19,2,55,0,26.79,34.75
2024,1,19,3,0,0,26.66,34.5
2024,1,19,3,5,0,26.77,34.34
2024,1,19,3,10,0,26.66,34.26
2024,1,19,3,15,0,26.63,34.27
2024,1,19,3,20,0,26.56,33.66
2024,1,19,3,25,0,26.65,33.58
2024,1,19,3,30,0,26.68,33.55
2024,1,19,3,35,0,26.69,33.59
2024,1,19,3,40,0,26.74,33.55
2024,1,19,3,45,0,26.77,33.47
2024,1,19,3,50,0,26.76,33.46
2024,1,19,3,55,0,26.82,33.44
2024,1,19,4,0,0,26.81,33.41
2024,1,19,4,5,0,26.84,33.43
2024,1,19,4,10,0,26.85,33.47
2024,1,19,4,15,0,26.89,33.53
2024,1,19,4,20,0,26.92,33.59
2024,1,19,4,25,0,26.97,33.74
2024,1,19,4,30,0,26.98,33.89
2024,1,19,4,35,0,26.81,33.96
2024,1,19,4,40,0,26.81,33.98
2024,1,19,4,45,0,26.81,33.99
2024,1,19,4,50,0,26.69,33.99
2024,1,19,4,55,0,26.54,34.01
2024,1,19,5,0,0,26.37,34.07
2024,1,19,5,5,0,26.27,34.1
2024,1,19,5,10,0,26.16,34.14
2024,1,19,5,15,0,26.12,34.17
2024,1,19,5,20,0,26.09,34.2
2024,1,19,5,25,0,26.06,34.16
2024,1,19,5,30,0,26.2,34.35
2024,1,19,5,35,0,26.08,34.25
2024,1,19,5,40,0,26.28,34.22
2024,1,19,5,45,0,26.42,34.24
2024,1,19,5,50,0,26.47,34.31
2024,1,19,5,55,0,26.58,34.34
2024,1,19,6,0,0,26.65,34.38
2024,1,19,6,5,0,26.72,34.39
2024,1,19,6,10,0,26.75,34.44
2024,1,19,6,15,0,26.8,34.46
2024,1,19,6,20,0,26.86,34.59
2024,1,19,6,25,0,26.91,34.63
2024,1,19,6,30,0,26.93,34.65
2024,1,19,6,35,0,26.98,34.72
2024,1,19,6,40,0,26.99,34.74
2024,1,19,6,45,0,27,34.77
2024,1,19,6,50,0,27.02,34.77
2024,1,19,6,55,0,27.08,34.85
2024,1,19,7,0,0,27.1,34.86
2024,1,19,7,5,0,27.2,34.93
2024,1,19,7,10,0,27.25,34.89
2024,1,19,7,15,0,27.39,35.06
2024,1,19,7,20,0,27.46,35.08
2024,1,19,7,25,0,27.48,35.08
2024,1,19,7,30,0,27.55,35.13
2024,1,19,7,35,0,27.59,35.16
2024,1,19,7,40,0,27.49,35.01
2024,1,19,7,45,0,27.37,34.87
2024,1,19,7,50,0,27.54,35.04
2024,1,19,7,55,0,27.5,34.98
2024,1,19,8,0,0,27.33,34.81
2024,1,19,8,5,0,27.36,34.85
2024,1,19,8,10,0,27.46,34.95
2024,1,19,8,15,0,27.46,34.96
2024,1,19,8,20,0,27.61,35.11
2024,1,19,8,25,0,27.62,35.12
2024,1,19,8,30,0,27.91,35.45
2024,1,19,8,35,0,27.95,35.54
2024,1,19,8,40,0,28.02,35.6
2024,1,19,8,45,0,27.99,35.57
2024,1,19,8,50,0,27.96,35.59
2024,1,19,8,55,0,27.91,35.57
2024,1,19,9,0,0,27.88,35.57
2024,1,19,9,5,0,27.84,35.59
2024,1,19,9,10,0,27.89,35.6
2024,1,19,9,15,0,27.83,35.61
2024,1,19,9,20,0,27.78,35.55
2024,1,19,9,25,0,27.74,35.52
2024,1,19,9,30,0,27.62,35.47
2024,1,19,9,35,0,27.56,35.55
2024,1,19,9,40,0,27.53,35.56
2024,1,19,9,45,0,27.45,35.52
2024,1,19,9,50,0,27.35,35.47
2024,1,19,9,55,0,27.29,35.47
2024,1,19,10,0,0,27.24,35.49
2024,1,19,10,5,0,27.17,35.5
2024,1,19,10,10,0,27.11,35.5
2024,1,19,10,15,0,27.13,35.54
2024,1,19,10,20,0,27.15,35.58
2024,1,19,10,25,0,27.12,35.6
2024,1,19,10,30,0,27.16,35.48
2024,1,19,10,35,0,27.16,35.34
2024,1,19,10,40,0,27.17,35.32
2024,1,19,10,45,0,27.18,35.28
2024,1,19,10,50,0,27.19,35.23
2024,1,19,10,55,0,27.22,35.23
2024,1,19,11,0,0,27.23,35.24
2024,1,19,11,5,0,27.22,35.26
2024,1,19,11,10,0,27.2,35.27
2024,1,19,11,15,0,27.17,35.22
2024,1,19,11,20,0,27.17,35.23
2024,1,19,11,25,0,27.16,35.24
2024,1,19,11,30,0,27.16,35.25
2024,1,19,11,35,0,27.15,35.27
2024,1,19,11,40,0,27.16,35.3
2024,1,19,11,45,0,27.14,35.29
2024,1,19,11,50,0,27.1,35.29
2024,1,19,11,55,0,27.1,35.3
2024,1,19,12,0,0,27.13,35.3
2024,1,19,12,5,0,27.16,35.29
2024,1,19,12,10,0,27.15,35.29
2024,1,19,12,15,0,27.15,35.3
2024,1,19,12,20,0,27.15,35.31
2024,1,19,12,25,0,27.14,35.31
2024,1,19,12,30,0,27.13,35.3
2024,1,19,12,35,0,27.12,35.31
2024,1,19,12,40,0,27.11,35.3
2024,1,19,12,45,0,27.1,35.29
2024,1,19,12,50,0,27.09,35.28
2024,1,19,12,55,0,27.1,35.27
2024,1,19,13,0,0,27.09,35.24
2024,1,19,13,5,0,27.11,35.18
2024,1,19,13,10,0,27.11,35.17
2024,1,19,13,15,0,27.11,35.16
2024,1,19,13,20,0,27.1,35.15
2024,1,19,13,25,0,27.1,35.16
2024,1,19,13,30,0,27.1,35.16
2024,1,19,13,35,0,27.11,35.18
2024,1,19,13,40,0,27.13,35.18
2024,1,19,13,45,0,27.13,35.17
2024,1,19,13,50,0,27.14,35.17
2024,1,19,13,55,0,27.15,35.16
2024,1,19,14,0,0,27.16,35.14
2024,1,19,14,5,0,27.16,35.11
2024,1,19,14,10,0,27.17,35.12
2024,1,19,14,15,0,27.18,35.11
2024,1,19,14,20,0,27.18,35.1
2024,1,19,14,25,0,27.2,35.1
2024,1,19,14,30,0,27.23,35.09
2024,1,19,14,35,0,27.26,35.09
2024,1,19,14,40,0,27.27,35.11
2024,1,19,14,45,0,27.27,35.11
2024,1,19,14,50,0,27.29,35.12
2024,1,19,14,55,0,27.3,35.13
2024,1,19,15,0,0,27.29,35.13
2024,1,19,15,5,0,27.3,35.14
2024,1,19,15,10,0,27.31,35.14
2024,1,19,15,15,0,27.31,35.17
2024,1,19,15,20,0,27.35,35.16
2024,1,19,15,25,0,27.39,35.17
2024,1,19,15,30,0,27.41,35.18
